Designator,Mid X,Mid Y,Rotation,Layer
C1,4.417256,-8.4135,270.0,bottom
C10,82.538956,-39.1299,90.0,bottom
C100,259.211006,-46.5135,270.0,bottom
C101,264.980006,-45.7585,270.0,bottom
C102,16.323506,-65.5635,270.0,bottom
C103,22.092506,-64.8085,270.0,bottom
C104,47.279756,-65.5635,270.0,bottom
C105,53.048756,-64.8085,270.0,bottom
C106,66.329756,-65.5635,270.0,bottom
C107,72.098756,-64.8085,270.0,bottom
C108,85.379756,-65.5635,270.0,bottom
C109,91.148756,-64.8085,270.0,bottom
C11,155.054956,-73.1973,90.0,bottom
C110,104.429756,-65.5635,270.0,bottom
C111,110.198756,-64.8085,270.0,bottom
C112,123.479756,-65.5635,270.0,bottom
C113,129.248756,-64.8085,270.0,bottom
C114,142.529756,-65.5635,270.0,bottom
C115,148.298756,-64.8085,270.0,bottom
C116,161.579756,-65.5635,270.0,bottom
C117,167.348756,-64.8085,270.0,bottom
C118,180.629756,-65.5635,270.0,bottom
C119,186.398756,-64.8085,270.0,bottom
C12,20.407756,-39.1299,90.0,bottom
C120,199.679756,-65.5635,270.0,bottom
C121,205.448756,-64.8085,270.0,bottom
C122,218.729756,-65.5635,270.0,bottom
C123,224.498756,-64.8085,270.0,bottom
C124,254.448506,-65.5635,270.0,bottom
C125,260.217506,-64.8085,270.0,bottom
C126,6.798506,-84.6135,270.0,bottom
C127,12.567506,-83.8585,270.0,bottom
C128,30.611006,-84.6135,270.0,bottom
C129,36.380006,-83.8585,270.0,bottom
C13,140.714956,-82.1598,90.0,bottom
C130,54.423506,-84.6135,270.0,bottom
C131,60.192506,-83.8585,270.0,bottom
C132,125.861006,-84.6135,270.0,bottom
C133,131.630006,-83.8585,270.0,bottom
C134,197.298506,-84.6135,270.0,bottom
C135,203.067506,-83.8585,270.0,bottom
C136,221.111006,-84.6135,270.0,bottom
C137,226.880006,-83.8585,270.0,bottom
C138,244.923506,-84.6135,270.0,bottom
C139,250.692506,-83.8585,270.0,bottom
C14,140.704956,-80.2398,270.0,bottom
C140,268.736006,-84.6135,270.0,bottom
C141,274.505006,-83.8585,270.0,bottom
C142,36.541206,-14.75,270.0,bottom
C143,146.664956,-81.6798,0.0,bottom
C15,45.3,-52.0,270.0,bottom
C16,53.6375,-57.8,0.0,bottom
C17,98.224956,-88.8273,90.0,bottom
C18,23.467256,-8.4135,270.0,bottom
C19,29.236256,-7.6585,270.0,bottom
C2,10.186256,-7.6585,270.0,bottom
C20,139.795256,-39.1299,90.0,bottom
C21,254.095256,-38.4361,90.0,bottom
C22,200.945256,-39.1299,90.0,bottom
C23,39.534956,-15.8,0.0,bottom
C24,42.517256,-8.4135,270.0,bottom
C25,48.286256,-7.6585,270.0,bottom
C26,61.567256,-8.4135,270.0,bottom
C27,67.336256,-7.6585,270.0,bottom
C28,80.617256,-8.4135,270.0,bottom
C29,86.386256,-7.6585,270.0,bottom
C3,156.144956,-82.7573,180.0,bottom
C30,99.667256,-8.4135,270.0,bottom
C31,105.436256,-7.6585,270.0,bottom
C32,118.717256,-8.4135,270.0,bottom
C33,124.486256,-7.6585,270.0,bottom
C34,137.767256,-8.4135,270.0,bottom
C35,143.536256,-7.6585,270.0,bottom
C36,156.817256,-8.4135,270.0,bottom
C37,162.586256,-7.6585,270.0,bottom
C38,175.867256,-8.4135,270.0,bottom
C39,181.636256,-7.6585,270.0,bottom
C4,155.457549,-70.5123,90.0,bottom
C40,194.917256,-8.4135,270.0,bottom
C41,200.686256,-7.6585,270.0,bottom
C42,213.967256,-8.4135,270.0,bottom
C43,219.736256,-7.6585,270.0,bottom
C44,233.017256,-8.4135,270.0,bottom
C45,238.786256,-7.6585,270.0,bottom
